3062138,170282192,538111124,262726168,96,256,800
524453,80735297,553244733,117889729,153,1413,57
194121,115776485,316881891,350096479,217,1271,9
79628,22197598,126456614,43264442,446,1784,96
35963,58982839,89612983,529385293,1185,907,557
228289,322001429,63760957,181187447,109,35,157
15859,191388261,344766767,417495661,11,97,15
22500,382922336,37188552,86930424,72,1358,142
91394,193414454,249837258,178917016,512,372,30
2034,114955020,152839252,316653522,146,370,292
73500,504500528,445159608,178696728,218,110,50
123330,122188024,25521338,360879590,428,1466,96
55175,593245051,220942281,169478167,5,279,203
204781,122848301,2522677,118848083,81,35,51
1366065,117386301,554398829,44239067,21,1403,153
336911,219454507,109203027,257289873,23,567,129
51292,150447312,944580970,141322680,254,952,80
152014,298495224,589381154,588512464,172,1230,528
125066,864725066,1168062416,429293340,136,392,132
126239,212789535,330292759,824540749,41,399,143
14587,375940883,131767085,991606691,69,497,1143
74621,48331191,46996097,4282903,271,285,63
30096,9329268,1071185640,315499886,144,84,156
46793,60722287,36460185,163403005,197,401,169
48712,99718654,198045610,146524674,180,214,204
109994,223868342,43496556,8973446,126,2344,70
154190,536387130,307368492,880349852,174,2018,1080
315578,306596916,53582646,158650678,100,4,296
90956,224141448,46087536,308433014,108,1156,20
267172,134258122,19704222,182211306,136,118,236
128864,6117386,460376468,484675900,10,8,190
8630,636774554,153055428,202335930,112,100,204
235811,608089277,233929385,270495373,101,45,115
78979,250686893,437971009,206999263,249,155,725
53378,103518446,48179894,36540774,2,360,192
84993,251033289,175077987,763514359,341,417,1
62963,269374285,118931115,77254415,73,5,237
54879,68038067,881250305,31657943,47,905,143
182726,207557342,106543086,132137458,30,3290,648
18966,294307754,124704022,258752612,168,880,12
563460,24962096,154197922,391614308,486,394,300
60478,184405088,192667688,123627502,510,1580,282
40724,114894232,589749614,14405614,296,1208,6
253680,879807624,125189650,344407982,540,1016,98
13126,62452074,75318854,31814328,10,334,18
126815,228378269,212991135,287002301,173,1595,453
137774,319704626,41428360,78966672,342,1152,674
97364,48715012,155120328,1512135478,36,4382,342
374877,83312995,1459888649,469635589,51,327,167
14091,84553091,521656865,328797879,565,147,243
77546,290570330,264312004,101348144,248,180,44
177775,54923607,286015947,214468609,377,2983,309
451347,681553723,765322949,4735471,79,1135,271
714678,803675138,71436410,188577440,818,614,238
11243,440943951,4461191,521422947,35,1483,173
149494,333537464,756994612,732607972,418,968,92
353191,49898875,159881069,589252649,23,743,299
32771,83074433,459669793,9156799,147,2687,71
50070,90955538,656070456,1543006106,66,78,144
195313,24633093,10258215,374773039,65,455,19
100397,96078783,249192607,1899216463,471,1399,293
37308,47708112,43954240,34791198,130,4052,104
367367,114443695,207809415,21046195,357,3875,151
179735,68557079,473660719,15462067,207,1997,247
35819,1407854399,79296409,307515595,167,391,1
14803,92303665,116682539,114895137,43,173,151
250583,3418641,180919643,401656131,599,1237,169
200675,50335517,138354355,138907367,387,97,413
471916,40660028,2200660490,435762,92,98,94
69809,374692785,1151876075,484515673,183,45,149
194157,222959871,677477481,136186967,215,709,139
36608,198476460,379166086,26113820,88,482,78
397041,261802261,175649195,694841079,245,59,137
73642,694441904,301635970,266239116,154,1496,104
74151,1331682599,517557529,524666099,21,347,303
589143,30009235,317194493,102183645,69,61,177
121371,246863639,408449955,1162050179,99,363,163
97924,567146510,329918336,208311804,146,1396,246
389044,141730834,1791556354,131327732,60,1268,250
1060238,50808074,180152108,112151104,344,1264,512
116055,458762337,165157249,457839687,123,235,781
202020,52440970,685413076,779644854,254,2184,10
49954,75742574,394727668,226360734,78,970,108
2611860,689034,330696000,57737758,306,168,68
2566,525339474,268428550,141632132,224,562,62
62231,173678273,207520129,103225975,33,513,377
558625,192454625,283799599,131914715,683,771,205
184395,36880527,60212925,148608619,95,163,601
88386,483934772,6173622,399274574,164,1720,450
31290,220762760,765553104,131649400,194,308,460
595770,716465168,542447166,5103926,226,104,60
426044,17670814,866925312,46046902,2,460,132
12925,419982491,599562625,165685845,225,233,99
166264,176976402,243771692,315146220,160,712,440
128805,81276975,234037301,195714921,515,385,75
54350,693057906,473550944,117543714,268,168,150
49892,521271698,518792464,313638070,128,2066,696
153882,230649920,501433948,330938026,132,824,318
43611,153456269,30778509,374173033,59,951,163
232119,121018889,90159035,66888843,3,43,355
